contract_id,vendor_id,contract_value,currency,start_date,end_date,contract_type,status,created_by_employee_id
CON-000001,VND-03187,31728.56,EUR,2021-12-22,2023-09-04,FRAMEWORK,EXPIRED,EMP-2050
CON-000002,VND-04349,363173.42,SGD,2023-09-22,2025-06-16,TIME_AND_MATERIAL,ACTIVE,EMP-74331
CON-000003,VND-01947,951484.52,USD,2020-04-23,2021-11-22,MASTER_SERVICE,EXPIRED,EMP-4649
CON-000004,VND-01131,12787.81,EUR,2018-04-05,2021-03-25,SLA,EXPIRED,EMP-50789
CON-000005,VND-03131,33575.54,USD,2021-02-18,2022-12-23,MASTER_SERVICE,EXPIRED,EMP-49242
CON-000006,VND-04731,31072.74,CAD,2018-03-05,2019-04-08,TIME_AND_MATERIAL,EXPIRED,EMP-22346
CON-000007,VND-02101,56196.64,EUR,2023-11-05,2025-12-24,SLA,ACTIVE,EMP-73814
CON-000008,VND-01381,149687.9,USD,2021-04-02,2022-08-10,RETAINER,EXPIRED,EMP-33748
CON-000009,VND-03766,580188.59,USD,2018-07-15,2020-01-16,SLA,EXPIRED,EMP-48925
CON-000010,VND-04822,495503.31,EUR,2019-01-16,2021-08-06,FRAMEWORK,EXPIRED,EMP-4938
CON-000011,VND-02715,75105.67,EUR,2020-06-24,2021-04-29,RETAINER,EXPIRED,EMP-18287
CON-000012,VND-02096,50080.22,CAD,2023-09-23,2026-05-07,SLA,ACTIVE,EMP-599
CON-000013,VND-03391,1021950.06,GBP,2021-09-20,2023-04-12,SLA,EXPIRED,MGR-8648
CON-000014,VND-04382,13645.61,AUD,2020-01-31,2023-01-08,RETAINER,EXPIRED,EMP-38180
CON-000015,VND-04396,205856.07,USD,2019-03-30,2021-03-18,MASTER_SERVICE,EXPIRED,EMP-27741
CON-000016,VND-03579,15936.01,EUR,2023-10-08,2025-03-22,TIME_AND_MATERIAL,EXPIRED,EMP-63544
CON-000017,VND-03355,158636.6,USD,2023-07-22,2025-06-15,RETAINER,SUSPENDED,EMP-65871
CON-000018,VND-04520,105761.82,EUR,2023-05-19,2024-08-16,PURCHASE_ORDER,EXPIRED,EMP-47649
CON-000019,VND-02743,413092.4,USD,2018-11-22,2020-01-12,PURCHASE_ORDER,EXPIRED,EMP-3660
CON-000020,VND-02824,187867.99,EUR,2021-09-12,2023-11-15,RETAINER,TERMINATED,EMP-29347
CON-000021,VND-02250,8058.52,USD,2023-02-17,2024-05-25,TIME_AND_MATERIAL,EXPIRED,EMP-56437
CON-000022,VND-04314,416795.83,INR,2019-10-03,2021-06-12,FIXED_PRICE,EXPIRED,EMP-21929
CON-000023,VND-04039,10716.83,USD,2020-11-19,2022-04-25,FIXED_PRICE,EXPIRED,EMP-64204
CON-000024,VND-00590,59800.93,INR,2022-01-07,2024-09-10,SLA,EXPIRED,EMP-42419
CON-000025,VND-03304,736474.39,USD,2023-12-09,2026-02-09,FIXED_PRICE,SUSPENDED,EMP-25880
CON-000026,VND-04635,35695.57,GBP,2021-12-08,2024-06-29,PURCHASE_ORDER,EXPIRED,EMP-69710
CON-000027,VND-01571,5000.0,INR,2018-06-04,2019-02-26,SLA,EXPIRED,EMP-11329
CON-000028,VND-01272,325730.9,CAD,2021-02-24,2022-01-18,PURCHASE_ORDER,EXPIRED,EMP-26431
CON-000029,VND-01762,151898.45,INR,2019-11-17,2021-09-18,FRAMEWORK,EXPIRED,EMP-6512
CON-000030,VND-04260,1259942.65,INR,2020-11-06,2022-07-25,SLA,EXPIRED,EMP-56582
CON-000031,VND-04147,82413.33,EUR,2021-01-29,2021-08-05,MASTER_SERVICE,EXPIRED,EMP-RM562
CON-000032,VND-00042,289034.62,EUR,2021-09-28,2024-09-03,MASTER_SERVICE,EXPIRED,EMP-52506
CON-000033,VND-03270,502564.72,GBP,2023-06-14,2024-03-26,FIXED_PRICE,EXPIRED,EMP-63783
CON-000034,VND-00130,409796.92,GBP,2020-09-30,2022-11-18,FRAMEWORK,EXPIRED,EMP-43613
CON-000035,VND-03970,932039.49,EUR,2020-12-30,2023-08-02,SLA,EXPIRED,EMP-19504
CON-000036,VND-01115,19703.22,INR,2021-09-24,2024-04-28,MASTER_SERVICE,TERMINATED,EMP-10854
CON-000037,VND-04698,231642.45,GBP,2019-03-15,2021-05-16,MASTER_SERVICE,EXPIRED,EMP-9066
CON-000038,VND-03641,26948.92,USD,2019-09-21,2022-06-19,RETAINER,EXPIRED,EMP-54144
CON-000039,VND-02928,57297.47,GBP,2020-06-09,2022-06-29,FRAMEWORK,EXPIRED,EMP-11451
CON-000040,VND-02787,156602.84,USD,2021-08-03,2023-08-15,SLA,TERMINATED,EMP-53795
CON-000041,VND-03415,29921.35,USD,2020-06-10,2022-08-20,FRAMEWORK,EXPIRED,EMP-49959
CON-000042,VND-02364,5000.0,EUR,2022-06-08,2022-12-07,RETAINER,EXPIRED,EMP-61570
CON-000043,VND-02814,35080.0,GBP,2019-02-14,2021-04-25,MASTER_SERVICE,EXPIRED,EMP-62034
CON-000044,VND-00562,8669.44,USD,2021-02-09,2022-06-10,PURCHASE_ORDER,EXPIRED,EMP-54748
CON-000045,VND-01688,53803.74,EUR,2019-02-15,2020-10-26,RETAINER,EXPIRED,EMP-CORP-00188
CON-000046,VND-02004,503893.69,GBP,2021-10-09,2024-02-14,TIME_AND_MATERIAL,EXPIRED,EMP-54582
CON-000047,VND-02872,5000.0,USD,2021-07-31,2023-09-15,FIXED_PRICE,EXPIRED,EMP-64956
CON-000048,VND-02483,2832613.75,USD,2020-12-14,2023-04-07,RETAINER,EXPIRED,EMP-3410
CON-000049,VND-03539,75454.94,EUR,2023-04-13,2025-08-13,TIME_AND_MATERIAL,ACTIVE,EMP-67186
CON-000050,VND-01432,271113.8,EUR,2018-01-11,2020-11-05,PURCHASE_ORDER,EXPIRED,EMP-11557
CON-000051,VND-03318,34097.86,INR,2020-09-14,2022-01-12,RETAINER,EXPIRED,EMP-41684
CON-000052,VND-03800,528293.87,INR,2019-05-27,2020-01-14,FIXED_PRICE,EXPIRED,EMP-7073
CON-000053,VND-02067,197307.82,USD,2023-02-07,2026-01-01,FIXED_PRICE,ACTIVE,EMP-22267
CON-000054,VND-00588,19065.12,GBP,2020-12-10,2023-05-19,SLA,EXPIRED,EMP-31810
CON-000055,VND-03837,102388.28,INR,2021-10-11,2023-05-24,TIME_AND_MATERIAL,EXPIRED,EMP-27632
CON-000056,VND-03997,31750.12,GBP,2019-01-26,2020-08-30,FRAMEWORK,TERMINATED,EMP-46000
CON-000057,VND-01754,577270.01,GBP,2021-07-10,2022-06-10,TIME_AND_MATERIAL,EXPIRED,EMP-42849
CON-000058,VND-02864,154698.65,EUR,2018-03-14,2021-01-11,TIME_AND_MATERIAL,EXPIRED,EMP-70886
CON-000059,VND-04898,49919.25,GBP,2023-06-22,2024-12-23,FRAMEWORK,EXPIRED,EMP-26760
CON-000060,VND-00363,15607.96,CAD,2023-12-15,2026-08-12,PURCHASE_ORDER,ACTIVE,EMP-60610
CON-000061,VND-01585,115819.8,USD,2019-11-18,2021-01-15,FIXED_PRICE,EXPIRED,EMP-221
CON-000062,VND-03638,287047.29,GBP,2021-05-16,2021-11-30,MASTER_SERVICE,EXPIRED,EMP-27416
CON-000063,VND-00787,735866.86,USD,2023-07-12,2025-11-23,FRAMEWORK,ACTIVE,EMP-37394
CON-000064,VND-01020,9428.65,EUR,2021-12-01,2024-05-29,TIME_AND_MATERIAL,EXPIRED,EMP-54751
CON-000065,VND-01776,420981.24,GBP,2021-03-06,2022-09-18,FIXED_PRICE,EXPIRED,EMP-58593
CON-000066,VND-00209,8775.86,SGD,2022-05-10,2023-02-17,PURCHASE_ORDER,EXPIRED,EMP-15372
CON-000067,VND-00256,5904.66,GBP,2018-06-11,2021-01-22,RETAINER,EXPIRED,EMP-19551
CON-000068,VND-04693,151803.9,USD,2021-01-09,2023-02-16,SLA,EXPIRED,EMP-15627
CON-000069,VND-04334,115536.72,USD,2021-07-09,2023-12-02,FRAMEWORK,TERMINATED,EMP-29505
CON-000070,VND-02992,105990.68,GBP,2020-08-26,2023-01-03,TIME_AND_MATERIAL,EXPIRED,EMP-70023
CON-000071,VND-03647,14483.39,USD,2020-10-20,2022-04-14,FIXED_PRICE,EXPIRED,EMP-2720
CON-000072,VND-03015,1138040.32,USD,2021-12-29,2024-06-16,RETAINER,EXPIRED,EMP-9874
CON-000073,VND-03723,846485.83,USD,2019-06-29,2021-06-24,PURCHASE_ORDER,EXPIRED,EMP-27323
CON-000074,VND-01889,2458911.3,USD,2021-11-15,2024-08-30,SLA,EXPIRED,EMP-4857
CON-000075,VND-02230,5000.0,EUR,2018-07-13,2020-09-18,PURCHASE_ORDER,TERMINATED,EMP-33031
CON-000076,VND-02538,5000.0,USD,2020-07-17,2022-03-31,TIME_AND_MATERIAL,EXPIRED,EMP-443
CON-000077,VND-03931,16358.1,EUR,2022-08-23,2024-05-16,RETAINER,TERMINATED,EMP-26979
CON-000078,VND-00184,83827.85,GBP,2018-02-15,2020-06-24,PURCHASE_ORDER,EXPIRED,EMP-72107
CON-000079,VND-03580,799443.52,EUR,2022-02-03,2024-02-27,SLA,EXPIRED,EMP-67710
CON-000080,VND-01427,418074.35,AUD,2021-11-04,2022-11-04,SLA,EXPIRED,EMP-8100
CON-000081,VND-03858,882624.61,CAD,2020-12-19,2023-06-11,SLA,EXPIRED,EMP-56969
CON-000082,VND-04286,5000.0,USD,2022-10-24,2024-12-09,FIXED_PRICE,TERMINATED,EMP-32381
CON-000083,VND-01362,6033.57,GBP,2020-12-16,2023-03-17,MASTER_SERVICE,EXPIRED,EMP-54129
CON-000084,VND-00677,35494.64,USD,2023-06-27,2026-03-11,MASTER_SERVICE,ACTIVE,EMP-34126
CON-000085,VND-02508,897082.3,GBP,2021-07-28,2023-05-01,FIXED_PRICE,EXPIRED,EMP-59988
CON-000086,VND-03050,222543.71,USD,2020-05-29,2021-05-29,RETAINER,TERMINATED,EMP-71220
CON-000087,VND-00626,1255417.53,USD,2023-11-04,2024-08-09,MASTER_SERVICE,EXPIRED,EMP-62692
CON-000088,VND-01752,1279032.06,USD,2023-01-18,2024-01-25,FIXED_PRICE,EXPIRED,EMP-CORP-00334
CON-000089,VND-00475,23505.83,EUR,2019-02-15,2021-07-20,PURCHASE_ORDER,EXPIRED,EMP-39840
CON-000090,VND-02466,1631047.7,USD,2019-02-13,2021-02-11,SLA,EXPIRED,EMP-15213
CON-000091,VND-02132,5099.19,USD,2019-07-06,2020-06-19,FIXED_PRICE,EXPIRED,EMP-476
CON-000092,VND-01625,2388634.49,USD,2021-08-18,2022-11-14,PURCHASE_ORDER,TERMINATED,EMP-71934
CON-000093,VND-03629,16856.56,CAD,2020-04-28,2021-11-27,PURCHASE_ORDER,EXPIRED,EMP-53774
CON-000094,VND-03235,92855.67,INR,2023-04-04,2025-02-06,FRAMEWORK,EXPIRED,EMP-71770
CON-000095,VND-03959,9321.59,AUD,2019-03-21,2021-03-26,FIXED_PRICE,EXPIRED,EMP-70510
CON-000096,VND-04946,309396.32,INR,2018-01-11,2019-11-16,FRAMEWORK,EXPIRED,EMP-39178
CON-000097,VND-03409,193469.72,EUR,2019-01-20,2020-12-10,PURCHASE_ORDER,EXPIRED,EMP-73081
CON-000098,VND-03234,728489.5,USD,2018-07-22,2020-11-20,TIME_AND_MATERIAL,EXPIRED,EMP-16477
CON-000099,VND-00367,774816.75,USD,2019-10-25,2021-05-23,PURCHASE_ORDER,EXPIRED,EMP-43196
CON-000100,VND-03518,525397.41,USD,2021-05-07,2022-02-22,FIXED_PRICE,EXPIRED,EMP-27831
CON-000101,VND-01890,17622.96,USD,2018-03-25,2019-10-22,TIME_AND_MATERIAL,EXPIRED,EMP-28656
CON-000102,VND-04625,69332.95,INR,2023-06-16,2025-10-03,RETAINER,ACTIVE,EMP-72788
CON-000103,VND-00938,107461.8,EUR,2023-01-20,2025-06-17,RETAINER,ACTIVE,EMP-21166
CON-000104,VND-04702,45884.94,GBP,2020-02-09,2021-09-17,MASTER_SERVICE,EXPIRED,EMP-26674
CON-000105,VND-00089,56761.26,USD,2021-02-09,2022-02-03,FIXED_PRICE,EXPIRED,EMP-12090
CON-000106,VND-04902,419425.42,GBP,2022-06-19,2024-12-31,PURCHASE_ORDER,TERMINATED,EMP-65201
CON-000107,VND-00029,167194.33,EUR,2019-12-15,2020-10-05,PURCHASE_ORDER,EXPIRED,EMP-31637
CON-000108,VND-04179,30521.71,USD,2022-02-11,2024-10-29,FIXED_PRICE,EXPIRED,EMP-17989
CON-000109,VND-01631,249096.89,USD,2022-02-16,2024-02-24,SLA,EXPIRED,EMP-21579
CON-000110,VND-00678,872317.59,USD,2022-07-31,2024-02-01,MASTER_SERVICE,TERMINATED,EMP-60258
CON-000111,VND-03933,2708536.38,USD,2021-10-16,2022-12-29,FRAMEWORK,EXPIRED,EMP-61004
CON-000112,VND-00213,5893.44,USD,2018-11-30,2020-04-04,PURCHASE_ORDER,TERMINATED,EMP-10250
CON-000113,VND-04449,1128386.49,EUR,2020-02-15,2020-11-09,PURCHASE_ORDER,EXPIRED,EMP-41969
CON-000114,VND-03951,7157.62,GBP,2018-02-18,2019-03-30,TIME_AND_MATERIAL,EXPIRED,EMP-16396
CON-000115,VND-00819,408687.87,USD,2023-07-13,2024-04-01,FIXED_PRICE,EXPIRED,EMP-17108
CON-000116,VND-02830,1069613.6,USD,2023-08-12,2025-05-15,FIXED_PRICE,TERMINATED,EMP-73032
CON-000117,VND-01062,513193.6,EUR,2022-04-14,2022-10-15,FRAMEWORK,ACTIVE,EMP-20520
CON-000118,VND-01900,1215670.31,USD,2021-08-06,2022-09-03,SLA,EXPIRED,EMP-67478
CON-000119,VND-04566,24755.99,USD,2022-07-12,2024-04-20,FIXED_PRICE,EXPIRED,EMP-51800
CON-000120,VND-03177,20204.74,AUD,2020-07-08,2021-11-17,FRAMEWORK,ACTIVE,EMP-29516
CON-000121,VND-03728,5000.0,USD,2020-08-13,2023-06-21,RETAINER,EXPIRED,EMP-69379
CON-000122,VND-01865,329708.81,USD,2019-12-27,2021-03-21,PURCHASE_ORDER,EXPIRED,EMP-19783
CON-000123,VND-04095,11148.25,EUR,2021-10-25,2022-08-20,FRAMEWORK,EXPIRED,EMP-2250
CON-000124,VND-00354,660183.01,USD,2021-05-28,2023-11-11,TIME_AND_MATERIAL,EXPIRED,EMP-18791
CON-000125,VND-04436,188660.65,USD,2021-11-11,2023-06-10,MASTER_SERVICE,EXPIRED,EMP-51014
CON-000126,VND-03963,48699.91,EUR,2023-02-07,2025-04-05,MASTER_SERVICE,EXPIRED,EMP-51369
CON-000127,VND-02449,1517603.74,EUR,2023-05-10,2025-01-02,SLA,EXPIRED,EMP-61774
CON-000128,VND-04720,9672.19,GBP,2022-05-26,2023-10-02,FIXED_PRICE,EXPIRED,EMP-38531
CON-000129,VND-02797,380851.48,GBP,2019-09-06,2021-08-10,FIXED_PRICE,EXPIRED,EMP-49757
CON-000130,VND-04724,5000.0,CAD,2021-04-27,2023-03-27,PURCHASE_ORDER,TERMINATED,EMP-11128
CON-000131,VND-01665,44795.43,EUR,2018-02-12,2020-04-25,TIME_AND_MATERIAL,ACTIVE,EMP-53945
CON-000132,VND-02858,7484.85,AUD,2022-09-04,2023-03-14,RETAINER,EXPIRED,EMP-44488
CON-000133,VND-04895,6212.44,EUR,2022-07-29,2023-04-04,PURCHASE_ORDER,EXPIRED,EMP-29516
CON-000134,VND-03903,24354.76,GBP,2022-12-19,2025-12-07,MASTER_SERVICE,ACTIVE,EMP-42894
