claim_id,employee_id,amount,expense_category,claim_date,submission_date,receipt_attached,policy_id,approval_status,approved_by
EXP-000001,EMP-34126,8320.8,Marketing,2022-03-30,2022-03-30,False,POL-0013,PENDING,
EXP-000002,EMP-RM456,1109.84,Equipment,2021-11-09,2021-11-20,False,POL-0017,PENDING,
EXP-000003,EMP-1249,7421.32,Consulting,2021-06-11,2021-06-21,True,POL-0008,APPROVED,MGR-7040
EXP-000004,EMP-RM543,71.01,Entertainment,2024-04-09,2024-04-12,True,POL-0005,APPROVED,MGR-2413
EXP-000005,EMP-47027,2198.63,Travel,2023-04-23,2023-04-25,True,POL-0014,APPROVED,MGR-7110
EXP-000006,EMP-45294,324.81,Training,2024-08-25,2024-08-29,False,POL-0001,PENDING,
EXP-000007,EMP-6810,8453.74,Consulting,2021-04-20,2021-04-29,True,POL-0010,APPROVED,MGR-2668
EXP-000008,EMP-21769,27.17,Entertainment,2022-01-03,2022-01-05,True,POL-0008,APPROVED,MGR-7273
EXP-000009,EMP-15464,40.86,Meals,2024-09-12,2024-09-25,False,POL-0016,PENDING,
EXP-000010,EMP-17462,4690.85,Training,2021-10-05,2021-10-13,True,POL-0013,PENDING,
EXP-000011,EMP-RM358,80.21,Office Supplies,2021-05-27,2021-05-30,True,POL-0017,APPROVED,MGR-7414
EXP-000012,EMP-37553,3282.6,Training,2022-01-22,2022-02-05,True,POL-0020,APPROVED,MGR-3496
EXP-000013,EMP-9564,9260.43,Marketing,2023-10-10,2023-10-13,True,POL-0009,APPROVED,MGR-1012
EXP-000014,EMP-2326,72.02,Accommodation,2023-05-06,2023-05-16,True,POL-0016,APPROVED,MGR-7488
EXP-000015,EMP-63433,18.88,Meals,2023-05-31,2023-05-31,True,POL-0019,APPROVED,MGR-2668
EXP-000016,EMP-38608,3679.48,Consulting,2023-03-17,2023-03-28,True,POL-0008,APPROVED,MGR-8115
EXP-000017,EMP-55026,1295.24,Marketing,2021-05-12,2021-05-12,True,POL-0014,APPROVED,MGR-4505
EXP-000018,EMP-RM061,161.69,Software,2021-10-26,2021-10-30,True,POL-0015,APPROVED,MGR-5188
EXP-000019,EMP-48662,165.61,Entertainment,2021-07-24,2021-07-31,True,POL-0012,APPROVED,MGR-9216
EXP-000020,EMP-49406,2348.93,Training,2023-07-27,2023-08-10,True,POL-0015,APPROVED,MGR-3073
EXP-000021,EMP-60466,148.9,Entertainment,2023-06-14,2023-06-23,True,POL-0003,APPROVED,MGR-9216
EXP-000022,EMP-26114,734.24,Travel,2021-10-04,2021-10-09,True,POL-0003,APPROVED,MGR-8247
EXP-000023,EMP-14515,1977.92,Equipment,2024-04-02,2024-04-09,True,POL-0018,APPROVED,MGR-3835
EXP-000024,EMP-6849,385.25,Equipment,2023-07-19,2023-08-01,True,POL-0010,APPROVED,MGR-7414
EXP-000025,EMP-6984,6770.66,Marketing,2021-03-20,2021-03-29,True,POL-0001,APPROVED,EMP-6984
EXP-000026,EMP-8030,10326.18,Consulting,2023-01-27,2023-02-10,True,POL-0010,APPROVED,MGR-8247
EXP-000027,EMP-44300,866.5,Software,2024-03-21,2024-03-27,True,POL-0006,APPROVED,MGR-6637
EXP-000028,EMP-62828,6043.68,Travel,2023-12-20,2024-01-02,True,POL-0014,FLAGGED,
EXP-000029,EMP-69003,53.58,Meals,2022-11-04,2022-11-06,True,POL-0014,APPROVED,MGR-1877
EXP-000030,EMP-19914,801.33,Travel,2022-10-24,2022-11-06,True,POL-0007,APPROVED,MGR-9536
EXP-000031,EMP-26364,132.36,Entertainment,2022-07-17,2022-07-18,True,POL-0020,APPROVED,MGR-8247
EXP-000032,EMP-66602,3261.5,Training,2024-06-15,2024-06-24,True,POL-0016,APPROVED,MGR-9216
EXP-000033,EMP-64280,477.88,Equipment,2022-08-12,2022-08-23,True,POL-0011,APPROVED,MGR-7488
EXP-000034,EMP-34889,1888.51,Marketing,2022-09-16,2022-09-26,True,POL-0018,APPROVED,MGR-3835
EXP-000035,EMP-47520,3965.26,Training,2024-07-07,2024-07-18,True,POL-0008,APPROVED,MGR-9536
EXP-000036,EMP-RM177,55.05,Office Supplies,2024-10-23,2024-10-28,True,POL-0016,APPROVED,MGR-6032
EXP-000037,EMP-31362,9021.99,Marketing,2023-07-10,2023-07-15,True,POL-0011,APPROVED,MGR-5683
EXP-000038,EMP-18098,119.75,Entertainment,2024-02-06,2024-02-08,True,POL-0003,APPROVED,MGR-1877
