transaction_id,transaction_date,vendor_id,amount,currency,transaction_type,risk_score,status
TXN-C1341071961,2022-02-06,VND-04287,444708.88,USD,SETTLEMENT,0.92,COMPLETED
TXN-161558,2020-05-13,VND-02550,5903.68,INR,TRANSFER,0.146,COMPLETED
TXN-297663,2024-01-24,VND-00038,366578.82,EUR,ADVANCE,0.526,COMPLETED
TXN-C228699094,2023-08-16,VND-01277,46243.45,INR,REFUND,0.206,COMPLETED
TXN-249023,2024-05-21,VND-02042,267729.87,USD,PAYMENT,0.204,COMPLETED
TXN-C1079548249,2024-07-27,VND-02914,21450.1,EUR,INVOICE,0.606,COMPLETED
TXN-C393004587,2024-01-16,VND-04139,4475.56,CAD,ADVANCE,0.282,COMPLETED
TXN-C866798138,2021-03-29,VND-00358,10504.22,EUR,SETTLEMENT,0.019,COMPLETED
TXN-337114,2021-02-24,VND-02483,76917.44,EUR,SETTLEMENT,0.259,COMPLETED
TXN-C235039984,2024-06-21,VND-01697,21279.79,USD,SETTLEMENT,0.172,COMPLETED
TXN-832313,2023-01-24,VND-04595,1417.93,USD,REFUND,0.953,COMPLETED
TXN-C905550128,2024-10-25,VND-04994,2746.73,AUD,REIMBURSEMENT,0.564,COMPLETED
TXN-103164,2020-12-10,VND-02679,129297.49,EUR,ADVANCE,0.743,COMPLETED
TXN-C1454174723,2020-05-18,VND-02417,8797.95,USD,SETTLEMENT,0.584,PENDING
TXN-C1558129795,2024-08-23,VND-03924,145098.69,EUR,REIMBURSEMENT,0.237,COMPLETED
TXN-C1705294294,2021-05-26,VND-02674,8251.18,USD,REIMBURSEMENT,0.519,FLAGGED
TXN-C1374212198,2020-06-25,VND-04481,133759.34,USD,REFUND,0.967,COMPLETED
TXN-498632,2024-12-16,VND-02123,69512.53,EUR,PURCHASE,0.62,COMPLETED
TXN-291672,2020-07-29,VND-04901,157073.56,INR,TRANSFER,0.091,COMPLETED
TXN-C471004142,2021-01-15,VND-04192,102506.7,USD,TRANSFER,0.832,COMPLETED
TXN-414751,2024-06-15,VND-00585,10197.95,GBP,REFUND,0.678,COMPLETED
TXN-C1978449076,2020-02-16,VND-00403,5452.58,USD,INVOICE,0.875,COMPLETED
TXN-916720,2022-12-12,VND-01548,2038.61,GBP,ADVANCE,0.624,COMPLETED
TXN-C2076829355,2024-04-21,VND-04207,128040.13,CAD,ADVANCE,0.494,COMPLETED
TXN-C480118726,2020-01-13,VND-01189,314778.7,USD,INVOICE,0.394,COMPLETED
TXN-772812,2023-01-26,VND-01704,91298.55,GBP,SETTLEMENT,0.683,COMPLETED
TXN-664586,2021-01-17,VND-00117,542922.94,USD,SETTLEMENT,0.85,COMPLETED
TXN-356628,2023-04-09,VND-00120,236349.28,INR,REIMBURSEMENT,0.315,COMPLETED
TXN-365138,2023-09-25,VND-04293,232297.4,USD,TRANSFER,0.755,REVERSED
TXN-C679449777,2024-03-17,VND-02669,41489.49,INR,REIMBURSEMENT,0.933,COMPLETED
TXN-C1532139270,2021-11-18,VND-01763,457849.2,USD,TRANSFER,0.043,COMPLETED
TXN-194263,2024-02-27,VND-04085,6979.05,GBP,REFUND,0.589,COMPLETED
TXN-C1087049885,2023-06-30,VND-01407,174450.4,SGD,TRANSFER,0.616,COMPLETED
TXN-C1302666248,2024-09-13,VND-02804,6690.11,USD,PURCHASE,0.032,COMPLETED
TXN-597228,2020-11-22,VND-02804,9114.89,USD,INVOICE,0.483,COMPLETED
TXN-C1015139714,2022-06-03,VND-02374,3744.34,GBP,REIMBURSEMENT,0.155,COMPLETED
TXN-C5021240,2023-07-07,VND-00689,435363.05,INR,REIMBURSEMENT,0.865,COMPLETED
TXN-816335,2022-12-18,VND-00077,48992.38,SGD,PAYMENT,0.208,COMPLETED
TXN-C830226579,2024-02-15,VND-01049,253294.18,USD,PURCHASE,0.578,COMPLETED
TXN-C692861344,2022-03-16,VND-01700,5075.09,INR,TRANSFER,0.142,COMPLETED
TXN-C141110631,2021-01-03,VND-03970,523586.96,EUR,PAYMENT,0.966,REVERSED
TXN-626598,2022-01-12,VND-01879,294270.89,GBP,SETTLEMENT,0.818,COMPLETED
TXN-C85933822,2022-03-24,VND-00181,97798.33,EUR,SETTLEMENT,0.308,COMPLETED
TXN-631686,2023-08-10,VND-04624,2035.69,USD,REFUND,0.842,PENDING
TXN-C16373883,2023-07-09,VND-00118,226509.31,USD,INVOICE,0.185,COMPLETED
TXN-C199425383,2021-06-06,VND-00701,6823.03,INR,PURCHASE,0.698,COMPLETED
TXN-734969,2022-04-01,VND-02636,12703.55,USD,REFUND,0.429,COMPLETED
TXN-C487264509,2022-12-15,VND-02109,139534.03,AUD,REIMBURSEMENT,0.295,COMPLETED
TXN-C1459165625,2022-03-31,VND-03130,425927.42,USD,TRANSFER,0.043,COMPLETED
TXN-C75869920,2024-02-06,VND-03848,270124.84,USD,INVOICE,0.233,COMPLETED
TXN-830855,2020-04-08,VND-00647,23242.14,INR,REIMBURSEMENT,0.504,COMPLETED
TXN-C1717433286,2020-02-14,VND-02305,2155.13,SGD,SETTLEMENT,0.403,COMPLETED
TXN-C910819110,2020-02-25,VND-02296,6613.72,USD,SETTLEMENT,0.513,COMPLETED
TXN-414343,2023-11-09,VND-03912,13021.44,USD,REIMBURSEMENT,0.306,COMPLETED
TXN-C2102354034,2021-05-19,VND-02104,5443.14,USD,REFUND,0.883,COMPLETED
TXN-C1053212607,2020-08-07,VND-02671,13040.71,USD,PAYMENT,0.114,COMPLETED
TXN-C1674614337,2024-05-25,VND-00910,233331.71,GBP,TRANSFER,0.645,COMPLETED
TXN-C1798380773,2023-01-18,VND-01263,5041.11,USD,TRANSFER,0.12,COMPLETED
TXN-164473,2024-04-16,VND-01925,342854.94,GBP,SETTLEMENT,0.238,COMPLETED
TXN-C1577811800,2022-11-15,VND-03951,173974.32,CAD,ADVANCE,0.932,COMPLETED
TXN-C1860743120,2023-05-01,VND-03394,16208.5,USD,TRANSFER,0.808,COMPLETED
TXN-629117,2021-06-26,VND-03923,133656.53,EUR,INVOICE,0.836,FLAGGED
TXN-C727197178,2020-02-20,VND-02510,224108.67,USD,ADVANCE,0.326,COMPLETED
TXN-C1021565761,2023-03-05,VND-03495,17423.37,USD,ADVANCE,0.947,COMPLETED
TXN-818942,2021-11-08,VND-01030,310448.26,USD,REIMBURSEMENT,0.243,COMPLETED
TXN-C1362405334,2020-12-04,VND-03955,318535.67,USD,REIMBURSEMENT,0.003,COMPLETED
TXN-C141388791,2024-04-18,VND-02059,233033.12,USD,PURCHASE,0.662,COMPLETED
TXN-C1721739378,2020-10-06,VND-01591,585880.62,EUR,INVOICE,0.886,COMPLETED
TXN-C19423,2021-01-24,VND-03696,1934.53,USD,PURCHASE,0.408,COMPLETED
TXN-767152,2023-05-18,VND-02518,100369.22,USD,TRANSFER,0.448,COMPLETED
TXN-C1717104778,2022-08-17,VND-02197,141861.37,INR,TRANSFER,0.067,FLAGGED
TXN-C979592507,2024-03-15,VND-00775,6727.63,USD,INVOICE,0.135,COMPLETED
TXN-C1834283225,2023-07-26,VND-00581,158427.14,USD,PAYMENT,0.426,COMPLETED
TXN-744162,2020-09-08,VND-02242,1919.68,GBP,ADVANCE,0.003,COMPLETED
TXN-659668,2023-03-24,VND-04693,36996.19,USD,REFUND,0.108,COMPLETED
TXN-C1645731232,2024-10-16,VND-02268,509713.75,SGD,ADVANCE,0.776,PENDING
TXN-C57610764,2021-11-06,VND-00573,210069.48,AUD,PAYMENT,0.118,COMPLETED
TXN-C12075363,2023-09-12,VND-04890,37965.08,EUR,TRANSFER,0.542,COMPLETED
TXN-C565962987,2022-10-06,VND-04003,26678.13,GBP,REIMBURSEMENT,0.757,COMPLETED
TXN-C1536315327,2021-04-10,VND-00054,5351.79,CAD,TRANSFER,0.595,COMPLETED
TXN-C616874462,2021-11-16,VND-01213,72002.63,USD,REFUND,0.388,COMPLETED
TXN-C2033056323,2023-01-24,VND-01613,2607.6,AUD,TRANSFER,0.406,COMPLETED
TXN-C2030707995,2024-05-26,VND-03321,5113.39,USD,SETTLEMENT,0.793,COMPLETED
TXN-C1726185784,2021-03-19,VND-04944,2322.27,GBP,ADVANCE,0.878,COMPLETED
TXN-C1003307628,2023-03-10,VND-04593,245256.44,EUR,INVOICE,0.387,COMPLETED
TXN-C817750309,2023-02-13,VND-02589,310581.72,GBP,REFUND,0.817,COMPLETED
TXN-C1051744868,2022-03-26,VND-00097,2958.17,USD,ADVANCE,0.194,COMPLETED
TXN-C1643299824,2021-06-25,VND-01100,7179.59,USD,REFUND,0.541,COMPLETED
TXN-C1458115183,2021-01-13,VND-02689,121812.64,USD,ADVANCE,0.055,COMPLETED
TXN-C341062557,2022-11-27,VND-03886,634.29,INR,TRANSFER,0.605,COMPLETED
TXN-C540697314,2024-11-07,VND-02826,5218.09,EUR,TRANSFER,0.931,COMPLETED
TXN-932691,2024-09-26,VND-03472,8058.44,GBP,INVOICE,0.424,FLAGGED
TXN-438600,2023-05-23,VND-04226,7327.09,CAD,ADVANCE,0.033,COMPLETED
TXN-C621197441,2023-05-08,VND-00987,102519.32,USD,PURCHASE,0.074,COMPLETED
TXN-949089,2022-11-12,VND-00768,305755.43,INR,INVOICE,0.92,COMPLETED
TXN-759903,2021-04-17,VND-02088,335430.1,INR,PAYMENT,0.735,COMPLETED
TXN-C1147007032,2024-06-18,VND-00642,8288.24,USD,ADVANCE,0.878,COMPLETED
TXN-C496970646,2022-12-05,VND-00174,87566.41,INR,PAYMENT,0.926,COMPLETED
TXN-C1684524570,2024-04-19,VND-04460,277000.6,AUD,ADVANCE,0.566,COMPLETED
TXN-C758201517,2023-09-13,VND-03063,6619.77,EUR,REIMBURSEMENT,0.693,COMPLETED
TXN-538025,2022-06-30,VND-00247,10734.42,SGD,INVOICE,0.608,PENDING
TXN-731856,2022-07-19,VND-01986,87586.1,USD,TRANSFER,0.598,COMPLETED
TXN-C1848839399,2022-06-24,VND-02231,27379.86,INR,TRANSFER,0.982,COMPLETED
TXN-C2049602706,2023-05-31,VND-00159,110242.58,USD,REFUND,0.728,COMPLETED
TXN-C1327511749,2021-03-02,VND-03285,12514.93,USD,PAYMENT,0.245,COMPLETED
TXN-980042,2020-04-02,VND-03707,29115.84,USD,SETTLEMENT,0.463,COMPLETED
TXN-280283,2022-07-26,VND-04367,8160.72,USD,REFUND,0.78,COMPLETED
TXN-C215351125,2020-04-14,VND-04289,5145.38,GBP,REIMBURSEMENT,0.556,COMPLETED
TXN-C956631098,2023-07-01,VND-02690,136083.83,GBP,ADVANCE,0.654,FLAGGED
TXN-C339826690,2021-08-23,VND-00904,27721.69,INR,SETTLEMENT,0.562,FLAGGED
TXN-238055,2024-04-03,VND-02646,2071.21,USD,INVOICE,0.989,COMPLETED
TXN-797510,2023-03-05,VND-04984,199229.23,USD,PAYMENT,0.063,COMPLETED
TXN-C1158935183,2022-12-18,VND-00866,176360.6,USD,ADVANCE,0.147,COMPLETED
TXN-C516411154,2020-05-26,VND-02358,7663.4,USD,PAYMENT,0.546,PENDING
TXN-C855914030,2020-06-17,VND-00175,153257.44,EUR,INVOICE,0.969,COMPLETED
TXN-C422632617,2023-02-10,VND-03259,161835.93,USD,INVOICE,0.381,COMPLETED
TXN-841627,2021-08-14,VND-00784,296836.77,USD,REFUND,0.372,COMPLETED
TXN-330944,2020-09-12,VND-00544,2547.98,USD,SETTLEMENT,0.207,COMPLETED
TXN-C777559806,2022-03-10,VND-01470,126168.19,USD,TRANSFER,0.624,COMPLETED
TXN-C1753165188,2023-10-16,VND-04462,153772.26,USD,REFUND,0.395,COMPLETED
TXN-C545082195,2022-12-07,VND-02259,195814.68,GBP,SETTLEMENT,0.628,COMPLETED
TXN-C16528844,2024-02-11,VND-03779,26925.3,AUD,REIMBURSEMENT,0.086,COMPLETED
TXN-C1991532072,2024-01-19,VND-03104,254530.63,GBP,PAYMENT,1.0,COMPLETED
TXN-612102,2023-01-25,VND-00568,11909.45,CAD,REFUND,0.408,FLAGGED
TXN-C2116299597,2023-08-26,VND-03993,8267.8,EUR,REIMBURSEMENT,0.011,COMPLETED
TXN-628587,2021-11-07,VND-02579,17461.42,USD,PAYMENT,0.098,COMPLETED
TXN-C1222379177,2024-06-04,VND-02416,546336.59,EUR,REIMBURSEMENT,0.856,COMPLETED
TXN-107815,2023-01-02,VND-00344,519147.82,AUD,PAYMENT,0.79,COMPLETED
TXN-C1383602770,2023-09-06,VND-03883,796845.8,AUD,INVOICE,0.908,COMPLETED
TXN-C1056790461,2022-12-21,VND-00350,233087.88,GBP,PAYMENT,0.145,COMPLETED
TXN-C1363953941,2020-06-24,VND-03985,247299.48,GBP,TRANSFER,0.607,COMPLETED
TXN-C1810490435,2023-08-23,VND-04487,72891.3,SGD,REFUND,0.257,COMPLETED
TXN-C1361609751,2023-12-26,VND-01496,45200.35,GBP,TRANSFER,0.465,COMPLETED
TXN-316298,2024-09-28,VND-02849,225468.03,USD,REIMBURSEMENT,0.953,COMPLETED
TXN-C1276365319,2022-12-16,VND-04777,265823.69,AUD,REIMBURSEMENT,0.901,COMPLETED
TXN-456816,2024-08-26,VND-02185,405.66,USD,REFUND,0.875,COMPLETED
TXN-C1379132565,2024-10-26,VND-02356,210639.92,USD,PAYMENT,0.106,COMPLETED
TXN-576649,2021-10-25,VND-04812,898958.01,USD,PURCHASE,0.897,COMPLETED
TXN-C2036431933,2023-02-17,VND-02224,656838.74,EUR,REIMBURSEMENT,0.954,COMPLETED
TXN-210341,2024-07-01,VND-00173,94216.72,GBP,REFUND,0.531,COMPLETED
TXN-C715232657,2020-07-28,VND-02457,358899.67,USD,TRANSFER,0.286,COMPLETED
TXN-C1290169465,2024-11-17,VND-00971,734773.85,USD,TRANSFER,0.973,COMPLETED
TXN-890319,2024-04-11,VND-04731,14764.37,EUR,SETTLEMENT,0.4,FLAGGED
TXN-C735627505,2024-06-11,VND-02739,12921.34,USD,TRANSFER,0.164,COMPLETED
TXN-C646913062,2024-10-16,VND-00456,7533.95,CAD,TRANSFER,0.304,COMPLETED
TXN-335526,2020-06-04,VND-02783,60871.3,USD,REIMBURSEMENT,0.917,COMPLETED
TXN-456904,2024-06-26,VND-00049,48969.82,EUR,INVOICE,0.069,COMPLETED
TXN-C816870841,2022-07-29,VND-03427,16415.15,GBP,ADVANCE,0.576,COMPLETED
