vendor_id,vendor_name,vendor_type,country,registration_no,risk_rating,onboarding_date,status
VND-00001,RedPoint Consulting Group,CONSULTANT,United States,REG-IV104GRV33,LOW,2017-07-03,ACTIVE
VND-00002,FlowBridge Inc Ltd,SUPPLIER,United States,REG-BF819NOG60,LOW,2019-09-25,ACTIVE
VND-00003,MomentumCore Corp,CONSULTANT,Ireland,REG-AO908CLR38,LOW,2021-04-17,ACTIVE
VND-00004,ClearPath Logistics Ltd,LOGISTICS,United States,REG-JN026WVG54,MEDIUM,2018-02-13,ACTIVE
VND-00005,BlueStar Procurement Holdings,CONSULTANT,United Kingdom,REG-MQ161ZCU55,MEDIUM,2018-02-12,ACTIVE
VND-00006,FlowBridge Inc International,CONTRACTOR,Germany,REG-JS781ONX61,HIGH,2016-02-01,ACTIVE
VND-00007,VoltEdge Solutions International,SUPPLIER,Canada,REG-XS931FOG03,LOW,2021-01-05,ACTIVE
VND-00008,OpenBridge Systems Ltd,DISTRIBUTOR,United Kingdom,REG-XW647NQR52,LOW,2019-01-21,ACTIVE
VND-00009,OmegaLink Systems Inc,SUPPLIER,United Kingdom,REG-KD192YRO83,MEDIUM,2018-03-31,ACTIVE
VND-00010,DawnTech Services LLC,CONTRACTOR,United Kingdom,REG-CZ835UZR03,MEDIUM,2024-05-09,ACTIVE
VND-00011,RedPoint Consulting LLC,MANUFACTURER,United States,REG-PF139ZPD53,LOW,2022-08-31,ACTIVE
VND-00012,VoltEdge Solutions Group,SERVICE_PROVIDER,Canada,REG-IQ242VLB38,LOW,2016-10-31,ACTIVE
VND-00013,TitanPath Holdings Ltd,MANUFACTURER,Germany,REG-GF965FWD32,LOW,2017-06-18,ACTIVE
VND-00014,OmegaLink Systems Inc,LOGISTICS,Germany,REG-EY122YMD69,MEDIUM,2015-05-12,ACTIVE
VND-00015,KryptonPath Ltd LLC,CONSULTANT,Ireland,REG-RI848WRX01,LOW,2018-07-12,ACTIVE
VND-00016,PeakVault Services International,CONTRACTOR,United States,REG-DA514UUQ62,LOW,2016-08-08,ACTIVE
VND-00017,QuantumEdge Solutions LLC,SERVICE_PROVIDER,Brazil,REG-OG828MMJ14,LOW,2021-07-22,ACTIVE
VND-00018,InnoCore Dynamics Ltd,SUPPLIER,United States,REG-MU528FBH80,LOW,2020-07-14,ACTIVE
VND-00019,KineticBlue Ltd Inc,SERVICE_PROVIDER,Brazil,REG-KF543FUF03,MEDIUM,2022-08-19,ACTIVE
VND-00020,DawnTech Services Ltd,DISTRIBUTOR,United States,REG-JK182QHM27,LOW,2017-10-26,ACTIVE
VND-00021,IronPoint Manufacturing Inc,LOGISTICS,Ireland,REG-ZQ638PXC34,LOW,2017-12-28,ACTIVE
VND-00022,KineticBlue Ltd International,MANUFACTURER,India,REG-EV871BLJ33,LOW,2015-01-14,ACTIVE
VND-00023,GreenBridge Consulting,CONTRACTOR,Japan,REG-TO393DOE01,HIGH,2022-01-05,INACTIVE
VND-00024,XcelPath Networks Inc,DISTRIBUTOR,UAE,REG-RQ051FNI83,LOW,2016-10-23,ACTIVE
VND-00025,FusionCore Analytics,CONTRACTOR,India,REG-YE299ZAM73,HIGH,2016-04-03,ACTIVE
VND-00026,KryptonPath Ltd,MANUFACTURER,France,REG-AD116UDR56,LOW,2015-12-17,ACTIVE
VND-00027,IronPoint Manufacturing Inc,CONSULTANT,France,REG-PM106MIC51,MEDIUM,2016-05-30,BLACKLISTED
VND-00028,HorizonEdge Inc,SERVICE_PROVIDER,United Kingdom,REG-PE262CZJ47,HIGH,2021-10-20,ACTIVE
VND-00029,TitanPath Holdings Group,CONTRACTOR,Singapore,REG-WP108KAF01,HIGH,2022-12-30,INACTIVE
VND-00030,ClearPath Logistics Ltd,SUPPLIER,India,REG-YA736YQY02,CRITICAL,2020-01-24,BLACKLISTED
VND-00031,LucentBridge Technologies Ltd,DISTRIBUTOR,United Kingdom,REG-JM746SND87,LOW,2017-07-31,ACTIVE
VND-00032,DeltaPath Logistics Group,SUPPLIER,Germany,REG-DL980EGH50,LOW,2015-10-04,ACTIVE
VND-00033,RapidCore Consulting International,DISTRIBUTOR,United States,REG-EM208ERP12,LOW,2017-05-27,ACTIVE
VND-00034,KryptonPath Ltd International,LOGISTICS,France,REG-MC619NFA39,MEDIUM,2017-09-22,INACTIVE
VND-00035,GlobalNex Corp LLC,CONTRACTOR,Singapore,REG-NQ998TUP54,MEDIUM,2019-11-01,ACTIVE
VND-00036,DeltaPath Logistics LLC,MANUFACTURER,United States,REG-UW462EAD47,LOW,2022-04-30,ACTIVE
VND-00037,Delta_Logistics Inc,CONSULTANT,United Kingdom,REG-NG991QIW18,LOW,2016-03-23,ACTIVE
VND-00038,BlueStar Procurement Group,SERVICE_PROVIDER,India,REG-CI135TTN42,LOW,2018-02-14,ACTIVE
VND-00039,Delta_Logistics Inc,SUPPLIER,United States,REG-IQ808HGV41,MEDIUM,2021-03-04,ACTIVE
VND-00040,Apex Solutions,LOGISTICS,India,REG-NT824VNR49,LOW,2023-06-14,ACTIVE
VND-00041,NorthBridge Supplies Inc,SUPPLIER,United Kingdom,REG-FO487BRC40,LOW,2019-07-01,ACTIVE
VND-00042,QuantumEdge Solutions Inc,SERVICE_PROVIDER,India,REG-VC052JTB42,LOW,2023-10-21,INACTIVE
