document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
AR-02301,AUDIT_REPORT,VND-01640,EMP-46132,TXN-C1011463560,,,2024-07-04,AR-02301_Vendor_Risk_Audit.pdf
AR-02302,AUDIT_REPORT,VND-03433,EMP-47008,TXN-200588,,,2023-08-28,AR-02302_Approval_Controls_Audit.pdf
AR-02303,AUDIT_REPORT,VND-04833,EMP-22692,TXN-C1919940157,,,2023-03-09,AR-02303_Expense_Audit.pdf
AR-02304,AUDIT_REPORT,VND-01422,EMP-32973,TXN-C797962182,,,2024-10-22,AR-02304_Financial_Transaction_Audit.pdf
AR-02305,AUDIT_REPORT,VND-01391,EMP-618,TXN-C27813796,,,2024-09-14,AR-02305_Expense_Audit.pdf
AR-02306,AUDIT_REPORT,VND-03349,EMP-22569,TXN-263599,,,2024-02-20,AR-02306_Vendor_Risk_Audit.pdf
AR-02307,AUDIT_REPORT,VND-02704,EMP-38261,TXN-EXT-002230,,,2025-07-30,AR-02307_Contract_Compliance_Audit.pdf
AR-02308,AUDIT_REPORT,VND-00656,EMP-31551,TXN-C1588885067,,,2023-04-26,AR-02308_Financial_Transaction_Audit.pdf
AR-02309,AUDIT_REPORT,VND-04430,EMP-30091,TXN-277496,,,2024-03-12,AR-02309_Financial_Transaction_Audit.pdf
AR-02310,AUDIT_REPORT,VND-03277,EMP-34864,TXN-711909,,,2025-11-07,AR-02310_Vendor_Risk_Audit.pdf
AR-02311,AUDIT_REPORT,VND-04255,EMP-63414,TXN-C1149993098,,,2024-01-21,AR-02311_Financial_Transaction_Audit.pdf
AR-02312,AUDIT_REPORT,VND-00283,EMP-8066,TXN-431611,,,2025-01-25,AR-02312_Anti-Fraud_Investigation_Audit.pdf
AR-02313,AUDIT_REPORT,VND-00855,EMP-45839,TXN-624613,,,2024-08-06,AR-02313_Vendor_Risk_Audit.pdf
AR-02314,AUDIT_REPORT,VND-04556,EMP-9678,TXN-176694,,,2023-04-23,AR-02314_Financial_Transaction_Audit.pdf
AR-02315,AUDIT_REPORT,VND-04807,EMP-15033,TXN-C2076829355,,,2024-04-03,AR-02315_Anti-Fraud_Investigation_Audit.pdf
AR-02316,AUDIT_REPORT,VND-02775,EMP-43602,TXN-773410,,,2025-10-25,AR-02316_Procurement_Compliance_Audit.pdf
AR-02317,AUDIT_REPORT,VND-04299,EMP-66228,TXN-C898935515,,,2023-04-11,AR-02317_Vendor_Risk_Audit.pdf
AR-02318,AUDIT_REPORT,VND-03844,EMP-4918,TXN-C88469686,,,2023-08-02,AR-02318_Anti-Fraud_Investigation_Audit.pdf
AR-02319,AUDIT_REPORT,VND-01926,EMP-51356,TXN-C877915704,,,2026-02-01,AR-02319_Contract_Compliance_Audit.pdf
AR-02320,AUDIT_REPORT,VND-02405,EMP-47801,TXN-EXT-004820,,,2025-03-31,AR-02320_Approval_Controls_Audit.pdf
AR-02321,AUDIT_REPORT,VND-03370,EMP-67308,TXN-799897,,,2025-05-10,AR-02321_Anti-Fraud_Investigation_Audit.pdf
AR-02322,AUDIT_REPORT,VND-04951,EMP-9192,TXN-C1850306068,,,2023-11-06,AR-02322_Vendor_Risk_Audit.pdf
AR-02323,AUDIT_REPORT,VND-01907,EMP-49766,TXN-C1902665544,,,2024-09-19,AR-02323_Vendor_Risk_Audit.pdf
AR-02324,AUDIT_REPORT,VND-00976,EMP-56761,TXN-838174,,,2025-02-27,AR-02324_Anti-Fraud_Investigation_Audit.pdf
AR-02325,AUDIT_REPORT,VND-01793,EMP-47866,TXN-C1864477227,,,2024-12-23,AR-02325_Procurement_Compliance_Audit.pdf
AR-02326,AUDIT_REPORT,VND-01611,EMP-14064,TXN-681509,,,2025-02-06,AR-02326_Vendor_Risk_Audit.pdf
AR-02327,AUDIT_REPORT,VND-03428,EMP-68410,TXN-C731498509,,,2023-11-26,AR-02327_Anti-Fraud_Investigation_Audit.pdf
AR-02328,AUDIT_REPORT,VND-01832,EMP-63706,TXN-C1105358070,,,2024-11-25,AR-02328_Contract_Compliance_Audit.pdf
AR-02329,AUDIT_REPORT,VND-01790,EMP-32254,TXN-C1670993182,,,2024-10-07,AR-02329_Procurement_Compliance_Audit.pdf
AR-02330,AUDIT_REPORT,VND-04728,EMP-RM704,TXN-C455980347,,,2024-09-10,AR-02330_Anti-Fraud_Investigation_Audit.pdf
AR-02331,AUDIT_REPORT,VND-01674,EMP-66546,TXN-868769,,,2023-06-12,AR-02331_Procurement_Compliance_Audit.pdf
AR-02332,AUDIT_REPORT,VND-01916,EMP-64426,TXN-EXT-004243,,,2023-08-03,AR-02332_Financial_Transaction_Audit.pdf
AR-02333,AUDIT_REPORT,VND-01893,EMP-9925,TXN-C1234453970,,,2025-09-07,AR-02333_Approval_Controls_Audit.pdf
AR-02334,AUDIT_REPORT,VND-02719,EMP-RM1422,TXN-EXT-000658,,,2025-02-21,AR-02334_Procurement_Compliance_Audit.pdf
AR-02335,AUDIT_REPORT,VND-01227,EMP-5099,TXN-992753,,,2024-01-31,AR-02335_Approval_Controls_Audit.pdf
