document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
CON-006253,CONTRACT,VND-02002,EMP-59544,,CON-006253,,2025-04-18,CON-006253_IronPoint_Manufacturing_Holdings.pdf
CON-004685,CONTRACT,VND-00482,EMP-26652,,CON-004685,,2023-04-26,CON-004685_KineticBlue_Ltd.pdf
CON-001732,CONTRACT,VND-03950,EMP-31635,,CON-001732,,2025-12-16,CON-001732_FusionCore_Analytics_Inc.pdf
CON-004743,CONTRACT,VND-02113,EMP-55039,,CON-004743,,2025-12-07,CON-004743_KineticBlue_Ltd.pdf
CON-004522,CONTRACT,VND-02745,EMP-70174,,CON-004522,,2023-09-20,CON-004522_CoreVault_Systems_Ltd.pdf
CON-006341,CONTRACT,VND-03162,EMP-6338,,CON-006341,,2025-12-05,CON-006341_QuantumEdge_Solutions_Group.pdf
CON-000577,CONTRACT,VND-04358,MGR-12.0,,CON-000577,,2025-10-05,CON-000577_NexPoint_Analytics.pdf
CON-005203,CONTRACT,VND-03313,EMP-49963,,CON-005203,,2023-03-21,CON-005203_Alpha_Inc_Inc.pdf
CON-006364,CONTRACT,VND-03166,EMP-2380,,CON-006364,,2024-03-12,CON-006364_XpressCore_Dynamics_Ltd.pdf
CON-000440,CONTRACT,VND-03094,EMP-52981,,CON-000440,,2024-03-27,CON-000440_DawnTech_Services_Ltd.pdf
CON-002751,CONTRACT,VND-02790,EMP-66553,,CON-002751,,2024-12-19,CON-002751_BlueStar_Procurement.pdf
CON-007488,CONTRACT,VND-03867,EMP-42659,,CON-007488,,2025-07-31,CON-007488_BlueStar_Procurement_Group.pdf
CON-005273,CONTRACT,VND-04101,EMP-2505,,CON-005273,,2024-02-03,CON-005273_XcelPath_Networks_Group.pdf
CON-005654,CONTRACT,VND-04542,EMP-16318,,CON-005654,,2024-12-09,CON-005654_XcelPath_Networks_Ltd.pdf
CON-004000,CONTRACT,VND-03716,EMP-34142,,CON-004000,,2026-02-12,CON-004000_FusionCore_Analytics_Inc.pdf
CON-006034,CONTRACT,VND-00139,EMP-RM739,,CON-006034,,2024-10-26,CON-006034_RedPoint_Consulting_Inc.pdf
CON-000583,CONTRACT,VND-03600,EMP-31534,,CON-000583,,2025-03-09,CON-000583_RapidCore_Consulting.pdf
CON-009931,CONTRACT,VND-02772,EMP-28637,,CON-009931,,2023-12-12,CON-009931_ZenithBridge_Corp_Holdings.pdf
CON-007052,CONTRACT,VND-04789,EMP-30180,,CON-007052,,2024-09-11,CON-007052_UnityCore_Technologies_Holdings.pdf
CON-008159,CONTRACT,VND-03511,EMP-59933,,CON-008159,,2025-08-13,CON-008159_FlowBridge_Inc.pdf
CON-009897,CONTRACT,VND-02193,EMP-12969,,CON-009897,,2023-12-19,CON-009897_BridgeTech_Consulting_Group.pdf
CON-002250,CONTRACT,VND-00298,EMP-6372,,CON-002250,,2023-10-06,CON-002250_KryptonPath_Ltd.pdf
CON-004641,CONTRACT,VND-03302,EMP-16650,,CON-004641,,2026-03-03,CON-004641_JetStream_Analytics_Ltd.pdf
CON-009486,CONTRACT,VND-02560,EMP-RM511,,CON-009486,,2025-10-13,CON-009486_SkyBridge_Logistics_Ltd.pdf
CON-004948,CONTRACT,VND-01436,EMP-51033,,CON-004948,,2025-12-05,CON-004948_HarborLight_Services_Inc.pdf
CON-009921,CONTRACT,VND-04754,EMP-40030,,CON-009921,,2023-03-16,CON-009921_LatticeCore_Partners_Inc.pdf
CON-001964,CONTRACT,VND-00041,EMP-RM702,,CON-001964,,2024-05-13,CON-001964_NorthBridge_Supplies_Inc.pdf
CON-008244,CONTRACT,VND-04159,EMP-CORP-00170,,CON-008244,,2023-05-30,CON-008244_Beta_Supplies_Inc.pdf
CON-006591,CONTRACT,VND-01522,EMP-16855,,CON-006591,,2024-04-24,CON-006591_EdgeWave_Technologies_LLC.pdf
CON-008848,CONTRACT,VND-01932,EMP-4783,,CON-008848,,2023-03-28,CON-008848_JadeCore_Solutions_LLC.pdf
CON-000322,CONTRACT,VND-01956,EMP-41644,,CON-000322,,2025-11-02,CON-000322_LatticeCore_Partners_Holdings.pdf
CON-002679,CONTRACT,VND-00169,EMP-8051,,CON-002679,,2025-03-16,CON-002679_SilverPath_Holdings_Group.pdf
CON-004626,CONTRACT,VND-04278,EMP-51673,,CON-004626,,2023-11-09,CON-004626_BlueStar_Procurement.pdf
CON-004950,CONTRACT,VND-03712,EMP-8797,,CON-004950,,2026-02-02,CON-004950_IronPoint_Manufacturing_Ltd.pdf
CON-008329,CONTRACT,VND-03809,EMP-1803,,CON-008329,,2025-02-26,CON-008329_RedPoint_Consulting_Ltd.pdf
CON-003338,CONTRACT,VND-04945,EMP-37468,,CON-003338,,2024-05-18,CON-003338_InnoCore_Dynamics_Holdings.pdf
CON-005590,CONTRACT,VND-01056,EMP-28265,,CON-005590,,2024-07-24,CON-005590_SilverPath_Holdings_Group.pdf
CON-000252,CONTRACT,VND-04195,EMP-73308,,CON-000252,,2025-08-10,CON-000252_WaveCore_Manufacturing_Inc.pdf
CON-003974,CONTRACT,VND-00404,EMP-30463,,CON-003974,,2024-02-16,CON-003974_EcoVenture_Supplies_Group.pdf
CON-006631,CONTRACT,VND-04043,EMP-14364,,CON-006631,,2026-03-31,CON-006631_CoreVault_Systems_Ltd.pdf
CON-005548,CONTRACT,VND-00926,EMP-48044,,CON-005548,,2024-06-09,CON-005548_FlowBridge_Inc.pdf
CON-000036,CONTRACT,VND-01115,EMP-39324,,CON-000036,,2023-11-19,CON-000036_HarborLight_Services_Ltd.pdf
CON-008363,CONTRACT,VND-04126,EMP-72846,,CON-008363,,2024-12-04,CON-008363_Alpha_Inc_Holdings.pdf
CON-001514,CONTRACT,VND-03591,EMP-18215,,CON-001514,,2023-10-16,CON-001514_YellowBridge_Partners_International.pdf
CON-009318,CONTRACT,VND-01011,EMP-65946,,CON-009318,,2024-09-08,CON-009318_FlowBridge_Inc_Holdings.pdf
CON-000040,CONTRACT,VND-02787,EMP-51157,,CON-000040,,2023-06-08,CON-000040_NexPoint_Analytics_Inc.pdf
CON-004820,CONTRACT,VND-03246,EMP-23635,,CON-004820,,2025-07-12,CON-004820_ZenithBridge_Corp_Inc.pdf
CON-003466,CONTRACT,VND-01788,EMP-73918,,CON-003466,,2026-02-07,CON-003466_SilverPath_Holdings_International.pdf
CON-001761,CONTRACT,VND-02719,EMP-63462,,CON-001761,,2024-06-17,CON-001761_XpressCore_Dynamics_International.pdf
CON-002305,CONTRACT,VND-04080,EMP-72943,,CON-002305,,2025-07-13,CON-002305_YellowBridge_Partners_Holdings.pdf
CON-003724,CONTRACT,VND-01046,EMP-14290,,CON-003724,,2025-11-27,CON-003724_DawnTech_Services_Inc.pdf
