document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
EML-APR-00001,EMAIL_APPROVAL_REQUEST,,EMP-RM796,TXN-C1546842815,,,2023-02-06,EML-APR-00001.eml
EML-APR-00002,EMAIL_APPROVAL_REQUEST,,EMP-RM1278,TXN-C28658691,,,2024-11-17,EML-APR-00002.eml
EML-APR-00003,EMAIL_APPROVAL_REQUEST,,EMP-RM899,TXN-C959983859,,,2025-12-28,EML-APR-00003.eml
EML-APR-00004,EMAIL_APPROVAL_REQUEST,,EMP-RM1035,TXN-101635,,,2023-01-04,EML-APR-00004.eml
EML-APR-00005,EMAIL_APPROVAL_REQUEST,,MGR-14.0,TXN-C909777411,,,2025-12-16,EML-APR-00005.eml
EML-APR-00006,EMAIL_APPROVAL_REQUEST,,EMP-RM180,TXN-C1323235180,,,2024-09-18,EML-APR-00006.eml
EML-APR-00007,EMAIL_APPROVAL_REQUEST,,MGR-20.0,TXN-552990,,,2025-08-15,EML-APR-00007.eml
EML-APR-00008,EMAIL_APPROVAL_REQUEST,,EMP-RM277,TXN-994876,,,2023-05-21,EML-APR-00008.eml
EML-APR-00009,EMAIL_APPROVAL_REQUEST,,MGR-18.0,TXN-655500,,,2025-06-01,EML-APR-00009.eml
EML-APR-00010,EMAIL_APPROVAL_REQUEST,,EMP-RM508,TXN-C120999784,,,2024-07-17,EML-APR-00010.eml
EML-APR-00011,EMAIL_APPROVAL_REQUEST,,MGR-19.0,TXN-982528,,,2024-07-15,EML-APR-00011.eml
EML-APR-00012,EMAIL_APPROVAL_REQUEST,,EMP-RM482,TXN-582539,,,2025-06-28,EML-APR-00012.eml
EML-APR-00013,EMAIL_APPROVAL_REQUEST,,EMP-RM1293,TXN-C472117086,,,2025-03-30,EML-APR-00013.eml
EML-APR-00014,EMAIL_APPROVAL_REQUEST,,EMP-RM655,TXN-C163647132,,,2024-07-26,EML-APR-00014.eml
EML-APR-00015,EMAIL_APPROVAL_REQUEST,,EMP-RM996,TXN-C1135189746,,,2023-07-25,EML-APR-00015.eml
EML-APR-00016,EMAIL_APPROVAL_REQUEST,,EMP-RM727,TXN-C1534435611,,,2025-07-19,EML-APR-00016.eml
EML-APR-00017,EMAIL_APPROVAL_REQUEST,,EMP-RM927,TXN-254926,,,2025-09-13,EML-APR-00017.eml
EML-APR-00018,EMAIL_APPROVAL_REQUEST,,MGR-4.0,TXN-562763,,,2025-10-21,EML-APR-00018.eml
EML-APR-00019,EMAIL_APPROVAL_REQUEST,,MGR-17.0,TXN-C467036416,,,2025-07-18,EML-APR-00019.eml
EML-APR-00020,EMAIL_APPROVAL_REQUEST,,EMP-RM771,TXN-266934,,,2024-11-19,EML-APR-00020.eml
EML-APR-00021,EMAIL_APPROVAL_REQUEST,,EMP-RM882,TXN-C290672305,,,2024-08-16,EML-APR-00021.eml
EML-APR-00022,EMAIL_APPROVAL_REQUEST,,EMP-RM583,TXN-133519,,,2025-12-10,EML-APR-00022.eml
EML-APR-00023,EMAIL_APPROVAL_REQUEST,,EMP-RM849,TXN-C1850107823,,,2025-04-06,EML-APR-00023.eml
EML-APR-00024,EMAIL_APPROVAL_REQUEST,,MGR-4.0,TXN-C1708418139,,,2024-09-09,EML-APR-00024.eml
EML-APR-00025,EMAIL_APPROVAL_REQUEST,,EMP-RM618,TXN-C1251709638,,,2024-10-11,EML-APR-00025.eml
