document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
INV-00248,INVESTIGATION_REPORT,VND-03407,EMP-17427,TXN-EXT-003382,,INV-00248,2025-11-26,INV-00248_Investigation_Report.pdf
INV-00240,INVESTIGATION_REPORT,VND-02807,EMP-47526,TXN-877660,,INV-00240,2023-02-13,INV-00240_Investigation_Report.pdf
INV-00071,INVESTIGATION_REPORT,VND-04893,EMP-13658,TXN-639806,,INV-00071,2024-01-26,INV-00071_Investigation_Report.pdf
INV-00137,INVESTIGATION_REPORT,VND-02181,EMP-44291,TXN-C1871159793,,INV-00137,2024-07-21,INV-00137_Investigation_Report.pdf
INV-00388,INVESTIGATION_REPORT,VND-03473,EMP-27965,TXN-C1814557349,,INV-00388,2025-06-21,INV-00388_Investigation_Report.pdf
INV-00349,INVESTIGATION_REPORT,VND-01208,EMP-31798,TXN-C458015859,,INV-00349,2024-08-29,INV-00349_Investigation_Report.pdf
INV-00084,INVESTIGATION_REPORT,VND-00776,EMP-48635,TXN-608161,,INV-00084,2024-03-09,INV-00084_Investigation_Report.pdf
INV-00235,INVESTIGATION_REPORT,VND-00627,EMP-22991,TXN-983480,,INV-00235,2024-02-08,INV-00235_Investigation_Report.pdf
INV-00457,INVESTIGATION_REPORT,VND-00695,EMP-32095,TXN-857561,,INV-00457,2025-09-15,INV-00457_Investigation_Report.pdf
INV-00316,INVESTIGATION_REPORT,VND-01996,EMP-44964,TXN-C1243911696,,INV-00316,2024-07-10,INV-00316_Investigation_Report.pdf
INV-00358,INVESTIGATION_REPORT,VND-03111,EMP-19585,TXN-238438,,INV-00358,2023-02-05,INV-00358_Investigation_Report.pdf
INV-00441,INVESTIGATION_REPORT,VND-04506,EMP-20602,TXN-C1033304734,,INV-00441,2023-09-05,INV-00441_Investigation_Report.pdf
INV-00420,INVESTIGATION_REPORT,VND-02200,EMP-13080,TXN-EXT-001145,,INV-00420,2024-05-29,INV-00420_Investigation_Report.pdf
INV-00058,INVESTIGATION_REPORT,VND-03530,EMP-2364,TXN-994363,,INV-00058,2025-04-15,INV-00058_Investigation_Report.pdf
INV-00337,INVESTIGATION_REPORT,VND-00960,EMP-36979,TXN-EXT-000148,,INV-00337,2025-08-12,INV-00337_Investigation_Report.pdf
INV-00489,INVESTIGATION_REPORT,VND-02591,EMP-3467,TXN-EXT-000717,,INV-00489,2024-07-29,INV-00489_Investigation_Report.pdf
INV-00238,INVESTIGATION_REPORT,VND-01735,EMP-48193,TXN-C599316979,,INV-00238,2023-04-04,INV-00238_Investigation_Report.pdf
INV-00299,INVESTIGATION_REPORT,VND-04857,EMP-31380,TXN-279198,,INV-00299,2023-01-30,INV-00299_Investigation_Report.pdf
