document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
MIN-CRM-0001,MEETING_MINUTES,VND-02619,EMP-59544,,CON-000931,INV-00081,2023-04-26,MIN-CRM-0001_Compliance_Review_Meeting.docx
MIN-RCM-0002,MEETING_MINUTES,VND-02768,EMP-27454,,CON-009613,INV-00472,2024-10-25,MIN-RCM-0002_Risk_Committee_Meeting.docx
MIN-RCM-0003,MEETING_MINUTES,VND-02500,EMP-13370,,CON-008314,INV-00259,2025-10-25,MIN-RCM-0003_Risk_Committee_Meeting.docx
MIN-CRM-0004,MEETING_MINUTES,VND-04330,EMP-40427,,CON-002689,INV-00162,2024-10-16,MIN-CRM-0004_Compliance_Review_Meeting.docx
MIN-CRM-0005,MEETING_MINUTES,VND-01400,EMP-31805,,CON-002764,INV-00073,2026-04-25,MIN-CRM-0005_Compliance_Review_Meeting.docx
MIN-RCM-0006,MEETING_MINUTES,VND-04750,EMP-14479,,CON-001402,INV-00308,2023-04-07,MIN-RCM-0006_Risk_Committee_Meeting.docx
MIN-ARM-0007,MEETING_MINUTES,VND-00759,EMP-59715,,CON-006894,INV-00499,2024-05-05,MIN-ARM-0007_Audit_Review_Meeting.docx
MIN-ARM-0008,MEETING_MINUTES,VND-02989,EMP-13627,,CON-004260,INV-00371,2025-04-24,MIN-ARM-0008_Audit_Review_Meeting.docx
MIN-CRM-0009,MEETING_MINUTES,VND-02578,EMP-22006,,CON-001304,INV-00403,2025-10-14,MIN-CRM-0009_Compliance_Review_Meeting.docx
MIN-ARM-0010,MEETING_MINUTES,VND-03824,EMP-6284,,CON-004719,INV-00022,2025-02-07,MIN-ARM-0010_Audit_Review_Meeting.docx
MIN-ARM-0011,MEETING_MINUTES,VND-03714,EMP-69071,,CON-000075,INV-00298,2023-02-10,MIN-ARM-0011_Audit_Review_Meeting.docx
MIN-RCM-0012,MEETING_MINUTES,VND-03373,EMP-46170,,CON-000607,INV-00217,2023-03-02,MIN-RCM-0012_Risk_Committee_Meeting.docx
MIN-RCM-0013,MEETING_MINUTES,VND-00816,EMP-51350,,CON-008821,INV-00186,2025-10-13,MIN-RCM-0013_Risk_Committee_Meeting.docx
MIN-CRM-0014,MEETING_MINUTES,VND-03158,EMP-4994,,CON-003948,INV-00088,2023-04-10,MIN-CRM-0014_Compliance_Review_Meeting.docx
MIN-CRM-0015,MEETING_MINUTES,VND-04458,EMP-RM553,,CON-006626,INV-00381,2025-10-22,MIN-CRM-0015_Compliance_Review_Meeting.docx
MIN-ARM-0016,MEETING_MINUTES,VND-03084,EMP-51469,,CON-006147,INV-00030,2024-09-11,MIN-ARM-0016_Audit_Review_Meeting.docx
MIN-CRM-0017,MEETING_MINUTES,VND-03615,EMP-38311,,CON-004718,INV-00463,2026-02-07,MIN-CRM-0017_Compliance_Review_Meeting.docx
MIN-CRM-0018,MEETING_MINUTES,VND-04262,EMP-65201,,CON-002512,INV-00423,2024-12-05,MIN-CRM-0018_Compliance_Review_Meeting.docx
