document_id,document_type,related_vendor_id,related_employee_id,related_transaction_id,related_contract_id,related_investigation_id,creation_date,file_name
POL-PROC-001,POLICY,,EMP-59544,,,,2025-01-04,POL-PROC-001_Procurement_Policy.pdf
POL-VEND-002,POLICY,,EMP-50537,,,,2024-06-06,POL-VEND-002_Vendor_Management_Policy.pdf
POL-EXP-003,POLICY,,EMP-42465,,,,2024-03-02,POL-EXP-003_Expense_Reimbursement_Policy.pdf
POL-COMP-004,POLICY,,EMP-41401,,,,2025-05-16,POL-COMP-004_Compliance_Policy.pdf
POL-DOA-005,POLICY,,EMP-33615,,,,2024-06-20,POL-DOA-005_Delegation_of_Authority_Policy.pdf
POL-ABC-006,POLICY,,EMP-13304,,,,2025-10-17,POL-ABC-006_Anti-Bribery_and_Corruption_Policy.pdf
POL-COI-007,POLICY,,EMP-38642,,,,2025-08-01,POL-COI-007_Conflict_of_Interest_Policy.pdf
POL-DPP-008,POLICY,,EMP-59317,,,,2023-05-03,POL-DPP-008_Data_Protection_and_Privacy_Policy.pdf
POL-ISEC-009,POLICY,,EMP-63923,,,,2024-05-27,POL-ISEC-009_Information_Security_Policy.pdf
POL-CTM-010,POLICY,,EMP-711,,,,2025-07-28,POL-CTM-010_Contract_Management_Policy.pdf
POL-TEP-011,POLICY,,EMP-72271,,,,2024-08-13,POL-TEP-011_Travel_and_Entertainment_Policy.pdf
POL-WB-012,POLICY,,EMP-18219,,,,2023-10-31,POL-WB-012_Whistleblower_Protection_Policy.pdf
POL-IAC-013,POLICY,,EMP-12683,,,,2025-07-27,POL-IAC-013_Internal_Audit_Charter.pdf
POL-FRM-014,POLICY,,EMP-52934,,,,2023-03-24,POL-FRM-014_Fraud_Risk_Management_Policy.pdf
POL-TPRM-015,POLICY,,EMP-10485,,,,2023-04-30,POL-TPRM-015_Third-Party_Risk_Management_Policy.pdf
POL-SOD-016,POLICY,,EMP-45268,,,,2023-09-06,POL-SOD-016_Segregation_of_Duties_Policy.pdf
POL-RRP-017,POLICY,,EMP-65848,,,,2024-05-03,POL-RRP-017_Record_Retention_Policy.pdf
POL-POA-018,POLICY,,EMP-3435,,,,2024-01-23,POL-POA-018_Purchase_Order_Authorization_Policy.pdf
POL-COBE-019,POLICY,,EMP-51177,,,,2023-03-25,POL-COBE-019_Code_of_Business_Conduct_and_Ethics.pdf
POL-SANC-020,POLICY,,EMP-59119,,,,2024-08-31,POL-SANC-020_Sanctions_and_Export_Control_Policy.pdf
